Nombre de Propiedad,Etiqueta,Tipo,Grupo,Descripción
hs_journey_stage,Journey Stage,enumeration,contactinformation,"Track the status of a contact through a customer journey. It can be set through journeys, manually on a per contact basis, and through other tools."
hs_language,Preferred language,enumeration,contactinformation,"Set your contact's preferred language for communications. This property can be changed from an import, form, or integration."
hs_last_metered_enrichment_timestamp,Last Metered Enrichment Timestamp,datetime,contactinformation,The timestamp of the most recent enrichment to this object via Breeze Intelligence
hs_last_sales_activity_date,last sales activity date old,datetime,contactinformation,The date of the last sales activity with the contact. This property is set automatically by HubSpot. Note: This field is only updated for contacts with an owner.
hs_last_sales_activity_timestamp,Last Engagement Date,datetime,contact_activity,"The last time a contact engaged with your site or a form, document, meetings link, or tracked email. This doesn't include marketing emails or emails to multiple contacts."
hs_last_sales_activity_type,Last Engagement Type,enumeration,contactinformation,The type of the last engagement a contact performed. This doesn't include marketing emails or emails to multiple contacts.
hs_last_sms_send_date,Last Sms Send Date,datetime,smsinformation,This stores the date of the last SMS sent
hs_last_sms_send_name,Last SMS Send Name,string,smsinformation,Name of the last SMS sent to the contact
hs_lastmodifieddate,Object last modified date/time,datetime,contactinformation,"Most recent timestamp of any property update for this contact. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically."
hs_latest_disqualified_lead_date,Latest Disqualified Lead Date,datetime,contactinformation,The most recent time at which an associated lead currently in a disqualified stage was moved to that stage
hs_latest_meeting_activity,Latest meeting activity,datetime,contactinformation,"The date of the most recent meeting (past or upcoming) logged for, scheduled with, or booked by this contact."
hs_latest_open_lead_date,Latest Open Lead Date,datetime,contactinformation,The most recent time an associated open lead was moved to a NEW or IN_PROGRESS state
hs_latest_qualified_lead_date,Latest Qualified Lead Date,datetime,contactinformation,The most recent time at which an associated lead currently in a qualified stage was moved to that stage
hs_latest_sequence_ended_date,Last sequence ended date,datetime,contactinformation,The last sequence ended date.
hs_latest_sequence_enrolled,Last sequence enrolled,number,contactinformation,The last sequence enrolled.
hs_latest_sequence_enrolled_date,Last sequence enrolled date,datetime,contactinformation,The last sequence enrolled date.
hs_latest_sequence_finished_date,Last sequence finished date,datetime,contactinformation,The last sequence finished date.
hs_latest_sequence_unenrolled_date,Last sequence unenrolled date,datetime,contactinformation,The last sequence unenrolled date.
hs_latest_source,Latest Traffic Source,enumeration,analyticsinformation,The source of the latest session for a contact
hs_latest_source_data_1,Latest Traffic Source Drill-Down 1,string,analyticsinformation,Additional information about the latest source for the last session the contact used to find your website. Set automatically.
hs_latest_source_data_2,Latest Traffic Source Drill-Down 2,string,analyticsinformation,Additional information about the source for the last session the contact used to find your website. Set automatically.
hs_latest_source_timestamp,Latest Traffic Source Date,datetime,analyticsinformation,The time of the latest session for a contact
hs_latest_subscription_create_date,Latest subscription create date,datetime,contactinformation,The create date of the latest subscription by the contact.
hs_lead_status,Lead Status,enumeration,sales_properties,"The contact's sales, prospecting or outreach status"
hs_legal_basis,Legal basis for processing contact's data,enumeration,emailinformation,Legal basis for processing contact's data; 'Not applicable' will exempt the contact from GDPR protections
hs_lifecyclestage_customer_date,Became a Customer Date,datetime,contactinformation,The date when a contact's lifecycle stage changed to Customer. This is automatically set by HubSpot for each contact.
hs_lifecyclestage_evangelist_date,Became an Evangelist Date,datetime,contactinformation,The date when a contact's lifecycle stage changed to Evangelist. This is automatically set by HubSpot for each contact.
hs_lifecyclestage_lead_date,Became a Lead Date,datetime,contactinformation,The date when a contact's lifecycle stage changed to Lead. This is automatically set by HubSpot for each contact.
hs_lifecyclestage_marketingqualifiedlead_date,Became a Marketing Qualified Lead Date,datetime,contactinformation,The date when a contact's lifecycle stage changed to MQL. This is automatically set by HubSpot for each contact.
hs_lifecyclestage_opportunity_date,Became an Opportunity Date,datetime,contactinformation,The date when a contact's lifecycle stage changed to Opportunity. This is automatically set by HubSpot for each contact.
hs_lifecyclestage_other_date,Became an Other Lifecycle Date,datetime,contactinformation,The date when a contact's lifecycle stage changed to Other. This is automatically set by HubSpot for each contact.
hs_lifecyclestage_salesqualifiedlead_date,Became a Sales Qualified Lead Date,datetime,contactinformation,The date when a contact's lifecycle stage changed to SQL. This is automatically set by HubSpot for each contact.
hs_lifecyclestage_subscriber_date,Became a Subscriber Date,datetime,contactinformation,The date when a contact's lifecycle stage changed to Subscriber. This is automatically set by HubSpot for each contact.
hs_linkedin_ad_clicked,Clicked LinkedIn Ad,enumeration,conversioninformation,
hs_linkedin_url,LinkedIn URL,string,socialmediainformation,The URL of the contact's LinkedIn page.
hs_linkedinid,Linkedin ID,string,socialmediainformation,A contact's linkedin id
hs_live_enrichment_deadline,Live enrichment deadline,datetime,contactinformation,Deadline for freshly sourced enrichment data to be applied and cause a credit metering
hs_marketable_reason_id,Marketing contact status source name,string,contactinformation,The ID of the activity that set the contact as a marketing contact
hs_marketable_reason_type,Marketing contact status source type,enumeration,contactinformation,The type of the activity that set the contact as a marketing contact
hs_marketable_status,Marketing contact status,enumeration,contactinformation,The marketing status of a contact
hs_marketable_until_renewal,Marketing contact until next update,enumeration,contactinformation,Specifies if this contact will be set as non-marketing on renewal
hs_membership_has_accessed_private_content,Member has accessed private content,number,contactscripted,"1 if a member has accessed any private content, 0 or null if not"
hs_membership_last_private_content_access_date,Membership last private content access date,datetime,contactinformation,The last date a contact accessed private content
hs_merged_object_ids,Merged Contact IDs,enumeration,contactinformation,The list of Contact record IDs that have been merged into this Contact. This value is set automatically by HubSpot.
hs_messaging_engagement_score,messaging_engagement_score,number,emailinformation,
hs_mobile_sdk_push_tokens,Mobile Sdk Push Tokens,string,contactinformation,This property is used to capture the push notification token for use on the LiveChat mobile sdk. We intend to use this property to store a list of push tokens (as they refresh) on the CONTACT object.
hs_notes_last_activity,Last Activity,object_coordinates,contactinformation,The coordinates of the last activity for a contact. This is set automatically by HubSpot based on user actions in the contact record.
hs_notes_next_activity,Next Activity,object_coordinates,contactinformation,The coordinates of the next upcoming activity for a contact. This is set automatically by HubSpot based on user actions in the contact record.
hs_notes_next_activity_type,Next Activity Type,enumeration,contactinformation,The type of the next upcoming activity for a contact. This is set automatically by HubSpot based on user actions in the contact record.
hs_object_id,Record ID,number,contactinformation,The unique ID for this record. This value is set automatically by HubSpot.
hs_object_source,Record creation source,string,contactinformation,Raw internal PropertySource present in the RequestMeta when this record was created.
hs_object_source_detail_1,Record source detail 1,string,contactinformation,First level of detail on how this record was created.
hs_object_source_detail_2,Record source detail 2,string,contactinformation,Second level of detail on how this record was created.
hs_object_source_detail_3,Record source detail 3,string,contactinformation,Third level of detail on how this record was created.
hs_object_source_id,Record creation source ID,string,contactinformation,Raw internal sourceId present in the RequestMeta when this record was created.
hs_object_source_label,Record source,enumeration,contactinformation,How this record was created.
hs_object_source_user_id,Record creation source user ID,number,contactinformation,Raw internal userId present in the RequestMeta when this record was created.
hs_owning_teams,Owning Teams,enumeration,contactinformation,The teams that are attributed to this record.
hs_persona,Persona,enumeration,contactinformation,A contact's persona
hs_pinned_engagement_id,Pinned engagement ID,number,contactinformation,The object ID of the current pinned engagement. This will only be shown if there is already an association to the engagement.
hs_pipeline,Pipeline,enumeration,contactinformation,The pipeline with which this contact is currently associated
hs_predictivecontactscore,Predictive Lead Score,number,contact_activity,A score calculated by HubSpot that represents a contact's likelihood to become a customer
hs_predictivecontactscore_v2,Likelihood to close,number,contact_activity,The probability that a contact will become a customer within the next 90 days. This score is based on standard contact properties and behavior.
hs_predictivecontactscorebucket,Lead Rating,enumeration,contact_activity,The rating of this contact based on their predictive lead score
hs_predictivescoringtier,Contact priority,enumeration,contact_activity,A ranking system of contacts evenly assigned into four tiers. Contacts in tier one are more likely to become customers than contacts in tier four.
hs_prospecting_agent_actively_enrolled_count,Prospecting Agent Actively Enrolled Count,number,contactinformation,The number of active prospecting agent enrollments this contact has. This should be either 0 or 1
hs_quarantined_emails,Quarantined Emails,string,emailinformation,"Lists all emails associated with this contact that have been quarantined, with a source and reason."
hs_read_only,Read only object,bool,contactinformation,Determines whether a record can be edited by a user.
hs_recent_closed_order_date,Recent Closed Order Date,datetime,order_information,Date last order was closed. Set automatically.
hs_registered_member,Registered member,number,contactscripted,Whether or not a contact is registered
hs_registration_method,Registration Method,string,contactinformation,The method used for registration
hs_returning_to_office_detected_date,Returning to office detected date,date,emailinformation,Date detected from email that contact will return to the office
hs_role,Employment Role,enumeration,contactinformation,Job role
hs_sa_first_engagement_date,Date of first engagement,datetime,contactinformation,The date the current contact owner first engaged with the contact.
hs_sa_first_engagement_descr,Description of first engagement,enumeration,contactinformation,A description of the current contact owner's first engagement with the contact.
hs_sa_first_engagement_object_type,Type of first engagement,enumeration,contactinformation,The object type of the current contact owner's first engagement with the contact.
hs_sales_email_last_clicked,Recent Sales Email Clicked Date,datetime,contact_activity,The last time a tracked sales email was clicked by this user
hs_sales_email_last_opened,Recent Sales Email Opened Date,datetime,contact_activity,The last time a tracked sales email was opened by this contact. This property does not update for emails that were sent to more than one contact.
hs_sales_email_last_replied,Recent Sales Email Replied Date,datetime,contact_activity,The last time a tracked sales email to this contact was replied to. This is set automatically by HubSpot.
hs_searchable_calculated_international_mobile_number,Calculated Mobile Number with country code,phone_number,contactinformation,Mobile number with country code
hs_searchable_calculated_international_phone_number,Calculated Phone Number with country code,phone_number,contactinformation,Phone number with country code
hs_searchable_calculated_mobile_number,Calculated Mobile Number without country code,phone_number,contactinformation,Mobile number without country code
hs_searchable_calculated_phone_number,Calculated Phone Number without country code,phone_number,contactinformation,Phone number without country code
hs_seniority,Employment Seniority,enumeration,contactinformation,Job Seniority
hs_sequences_actively_enrolled_count,Number of sequences actively enrolled,number,contactinformation,The number of sequences actively enrolled.
hs_sequences_enrolled_count,Number of sequences enrolled,number,contactinformation,The number of sequences enrolled.
hs_sequences_is_enrolled,Currently in Sequence,bool,contact_activity,A yes/no field that indicates whether the contact is currently in a Sequence.
hs_shared_team_ids,Shared teams,enumeration,contactinformation,Additional teams whose users can access the Contact based on their permissions. This can be set manually or through Workflows or APIs.
hs_shared_user_ids,Shared users,enumeration,contactinformation,Additional users that can access the Contact based on their permissions. This can be set manually or through Workflows and APIs.
hs_social_facebook_clicks,Facebook Clicks,number,socialmediainformation,The number clicks on links shared on Facebook
hs_social_google_plus_clicks,Google Plus Clicks,number,socialmediainformation,The number clicks on links shared on Google Plus
hs_social_last_engagement,Most Recent Social Click,datetime,socialmediainformation,The date of the most recent click on a published social message. This is set automatically by HubSpot for each contact.
hs_social_linkedin_clicks,LinkedIn Clicks,number,socialmediainformation,The number clicks on links shared on LinkedIn
hs_social_num_broadcast_clicks,Broadcast Clicks,number,socialmediainformation,The number of clicks on published social messages. This is set automatically by HubSpot for each contact.
hs_social_twitter_clicks,Twitter Clicks,number,socialmediainformation,The number of times a contact clicked on links you shared on Twitter through HubSpot. This is set automatically by HubSpot and can be used for segmentation.
hs_source_object_id,Source Object ID,number,contactinformation,The ID of the object from which the data was migrated. This is set automatically during portal data migration.
hs_source_portal_id,Source Portal ID,number,contactinformation,The ID of the portal from which the data was migrated. This is set automatically during portal data migration.
hs_state_code,State/Region Code,string,contactinformation,The contact's state or region code.
hs_sub_role,Employment Sub Role,enumeration,contactinformation,Job sub role
hs_testpurge,testpurge,string,contactinformation,testing purge
hs_testrollback,testrollback,string,contactinformation,testing rollback
hs_time_between_contact_creation_and_deal_close,Time between contact creation and deal close,number,contactinformation,
hs_time_between_contact_creation_and_deal_creation,Time between contact creation and deal creation,number,contactinformation,
hs_time_in_customer,Time in 'Cliente (Pipeline de etapa del ciclo de vida)',number,contact_activity,"The total time in seconds spent by the contact in the 'Cliente' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_time_in_evangelist,Time in 'Evangelizador (Pipeline de etapa del ciclo de vida)',number,contact_activity,"The total time in seconds spent by the contact in the 'Evangelizador' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_time_in_lead,Time in 'Lead (Pipeline de etapa del ciclo de vida)',number,contact_activity,"The total time in seconds spent by the contact in the 'Lead' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_time_in_marketingqualifiedlead,Time in 'Marketing Qualified Lead (Lifecycle Stage Pipeline)',number,contact_activity,"The total time in seconds spent by the contact in the 'Marketing Qualified Lead' stage, 'Lifecycle Stage Pipeline' pipeline"
hs_time_in_opportunity,Time in 'Oportunidad (Pipeline de etapa del ciclo de vida)',number,contact_activity,"The total time in seconds spent by the contact in the 'Oportunidad' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_time_in_other,Time in 'Otra (Pipeline de etapa del ciclo de vida)',number,contact_activity,"The total time in seconds spent by the contact in the 'Otra' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_time_in_salesqualifiedlead,Time in 'Lead calificado por ventas (Pipeline de etapa del ciclo de vida)',number,contact_activity,"The total time in seconds spent by the contact in the 'Lead calificado por ventas' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_time_in_subscriber,Time in 'Suscriptor (Pipeline de etapa del ciclo de vida)',number,contact_activity,"The total time in seconds spent by the contact in the 'Suscriptor' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_time_to_first_engagement,Lead response time,number,contactinformation,"The time it took the current owner to perform a qualifying action on the contact. Qualifying actions include sending an email, calling, using chat, recording a meeting outcome, or marking a task as in progress or completed."
hs_time_to_move_from_lead_to_customer,Time to move from lead to customer,number,contactinformation, How long it takes for a contact to move from the HubSpot lead stage to the HubSpot customer stage.
hs_time_to_move_from_marketingqualifiedlead_to_customer,Time to move from marketing qualified lead to customer,number,contactinformation, How long it takes for a contact to move from the HubSpot marketing qualified lead stage to the HubSpot customer stage.
hs_time_to_move_from_opportunity_to_customer,Time to move from opportunity to customer,number,contactinformation, How long it takes for a contact to move from the HubSpot opportunity stage to the HubSpot customer stage.
hs_time_to_move_from_salesqualifiedlead_to_customer,Time to move from sales qualified lead to customer,number,contactinformation, How long it takes for a contact to move from the HubSpot sales qualified lead stage to the HubSpot customer stage.
hs_time_to_move_from_subscriber_to_customer,Time to move from subscriber to customer,number,contactinformation, How long it takes for a contact to move from the HubSpot subscriber stage to the HubSpot customer stage.
hs_timezone,Time Zone,enumeration,contactinformation,The contact’s time zone. This can be set automatically by HubSpot based on other contact properties. It can also be set manually for each contact.
hs_twitterid,Twitter ID,string,socialmediainformation,A contact's twitter id
hs_unique_creation_key,Unique creation key,string,contactinformation,Unique property used for idempotent creates
hs_updated_by_user_id,Updated by user ID,number,contactinformation,The user who last updated this record. This value is set automatically by HubSpot.
hs_user_ids_of_all_notification_followers,User IDs of all notification followers,enumeration,contactinformation,The user IDs of all users that have clicked follow within the object to opt-in to getting follow notifications
hs_user_ids_of_all_notification_unfollowers,User IDs of all notification unfollowers,enumeration,contactinformation,The user IDs of all object owners that have clicked unfollow within the object to opt-out of getting follow notifications
hs_user_ids_of_all_owners,User IDs of all owners,enumeration,contactinformation,The user IDs of all owners of this record.
hs_v2_cumulative_time_in_customer,"Cumulative time in ""Cliente (Pipeline de etapa del ciclo de vida)""",number,contactlcs,"The cumulative time in seconds spent by the contact in the 'Cliente' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_v2_cumulative_time_in_evangelist,"Cumulative time in ""Evangelizador (Pipeline de etapa del ciclo de vida)""",number,contactlcs,"The cumulative time in seconds spent by the contact in the 'Evangelizador' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_v2_cumulative_time_in_lead,"Cumulative time in ""Lead (Pipeline de etapa del ciclo de vida)""",number,contactlcs,"The cumulative time in seconds spent by the contact in the 'Lead' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_v2_cumulative_time_in_opportunity,"Cumulative time in ""Oportunidad (Pipeline de etapa del ciclo de vida)""",number,contactlcs,"The cumulative time in seconds spent by the contact in the 'Oportunidad' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_v2_cumulative_time_in_other,"Cumulative time in ""Otra (Pipeline de etapa del ciclo de vida)""",number,contactlcs,"The cumulative time in seconds spent by the contact in the 'Otra' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_v2_cumulative_time_in_salesqualifiedlead,"Cumulative time in ""Lead calificado por ventas (Pipeline de etapa del ciclo de vida)""",number,contactlcs,"The cumulative time in seconds spent by the contact in the 'Lead calificado por ventas' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_v2_date_entered_customer,"Date entered ""Cliente (Pipeline de etapa del ciclo de vida)""",datetime,contactlcs,"The date and time when the contact entered the 'Cliente' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_v2_date_entered_evangelist,"Date entered ""Evangelizador (Pipeline de etapa del ciclo de vida)""",datetime,contactlcs,"The date and time when the contact entered the 'Evangelizador' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_v2_date_entered_lead,"Date entered ""Lead (Pipeline de etapa del ciclo de vida)""",datetime,contactlcs,"The date and time when the contact entered the 'Lead' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_v2_date_entered_opportunity,"Date entered ""Oportunidad (Pipeline de etapa del ciclo de vida)""",datetime,contactlcs,"The date and time when the contact entered the 'Oportunidad' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_v2_date_entered_other,"Date entered ""Otra (Pipeline de etapa del ciclo de vida)""",datetime,contactlcs,"The date and time when the contact entered the 'Otra' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_v2_date_entered_salesqualifiedlead,"Date entered ""Lead calificado por ventas (Pipeline de etapa del ciclo de vida)""",datetime,contactlcs,"The date and time when the contact entered the 'Lead calificado por ventas' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_v2_date_exited_customer,"Date exited ""Cliente (Pipeline de etapa del ciclo de vida)""",datetime,contactlcs,"The date and time when the contact exited the 'Cliente' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_v2_date_exited_evangelist,"Date exited ""Evangelizador (Pipeline de etapa del ciclo de vida)""",datetime,contactlcs,"The date and time when the contact exited the 'Evangelizador' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_v2_date_exited_lead,"Date exited ""Lead (Pipeline de etapa del ciclo de vida)""",datetime,contactlcs,"The date and time when the contact exited the 'Lead' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_v2_date_exited_opportunity,"Date exited ""Oportunidad (Pipeline de etapa del ciclo de vida)""",datetime,contactlcs,"The date and time when the contact exited the 'Oportunidad' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_v2_date_exited_other,"Date exited ""Otra (Pipeline de etapa del ciclo de vida)""",datetime,contactlcs,"The date and time when the contact exited the 'Otra' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_v2_date_exited_salesqualifiedlead,"Date exited ""Lead calificado por ventas (Pipeline de etapa del ciclo de vida)""",datetime,contactlcs,"The date and time when the contact exited the 'Lead calificado por ventas' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_v2_latest_time_in_customer,"Latest time in ""Cliente (Pipeline de etapa del ciclo de vida)""",number,contactlcs,"The total time in seconds spent by the contact in the 'Cliente' stage, 'Pipeline de etapa del ciclo de vida' pipeline since it last entered this stage"
hs_v2_latest_time_in_evangelist,"Latest time in ""Evangelizador (Pipeline de etapa del ciclo de vida)""",number,contactlcs,"The total time in seconds spent by the contact in the 'Evangelizador' stage, 'Pipeline de etapa del ciclo de vida' pipeline since it last entered this stage"
hs_v2_latest_time_in_lead,"Latest time in ""Lead (Pipeline de etapa del ciclo de vida)""",number,contactlcs,"The total time in seconds spent by the contact in the 'Lead' stage, 'Pipeline de etapa del ciclo de vida' pipeline since it last entered this stage"
hs_v2_latest_time_in_opportunity,"Latest time in ""Oportunidad (Pipeline de etapa del ciclo de vida)""",number,contactlcs,"The total time in seconds spent by the contact in the 'Oportunidad' stage, 'Pipeline de etapa del ciclo de vida' pipeline since it last entered this stage"
hs_v2_latest_time_in_other,"Latest time in ""Otra (Pipeline de etapa del ciclo de vida)""",number,contactlcs,"The total time in seconds spent by the contact in the 'Otra' stage, 'Pipeline de etapa del ciclo de vida' pipeline since it last entered this stage"
hs_v2_latest_time_in_salesqualifiedlead,"Latest time in ""Lead calificado por ventas (Pipeline de etapa del ciclo de vida)""",number,contactlcs,"The total time in seconds spent by the contact in the 'Lead calificado por ventas' stage, 'Pipeline de etapa del ciclo de vida' pipeline since it last entered this stage"
hs_was_imported,Performed in an import,bool,contactinformation,Object is part of an import
hs_whatsapp_phone_number,WhatsApp Phone Number,string,contactinformation,The phone number associated with the contact’s WhatsApp account.
hubspot_owner_assigneddate,Owner assigned date,datetime,sales_properties,The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.
hubspot_owner_id,Contact owner,enumeration,sales_properties,"The owner of a contact. This can be any HubSpot user or Salesforce integration user, and can be set manually or via Workflows."
hubspot_team_id,HubSpot Team,enumeration,sales_properties,The team of the owner of a contact.
hubspotscore,HubSpot Score,number,sales_properties,The number that shows qualification of contacts to sales readiness. It can be set in HubSpot's Lead Scoring app.
industry,Industry,string,contactinformation,The Industry a contact is in
institucion_en_la_que_labora,Institución en la que labora,enumeration,contactinformation,
ip_city,IP City,string,conversioninformation,The city reported by a contact's IP address. This is automatically set by HubSpot and can be used for segmentation and reporting.
ip_country,IP Country,string,conversioninformation,The country reported by a contact's IP address. This is automatically set by HubSpot and can be used for segmentation and reporting.
ip_country_code,IP Country Code,string,conversioninformation,The country code reported by a contact's IP address. This is automatically set by HubSpot and can be used for segmentation and reporting.
ip_latlon,IP Latitude & Longitude,string,conversioninformation,
ip_state,IP State/Region,string,conversioninformation,The state or region reported by a contact's IP address. This is automatically set by HubSpot and can be used for segmentation and reporting.
ip_state_code,IP State Code/Region Code,string,conversioninformation,The state code or region code reported by a contact's IP address. This is automatically set by HubSpot and can be used for segmentation and reporting.
ip_zipcode,IP Zipcode,string,conversioninformation,The zipcode reported by a contact's IP address. This is automatically set by HubSpot and can be used for segmentation and reporting.
job_function,Job function,string,facebook_ads_properties,Contact's job function. Required for the Facebook Ads Integration. Automatically synced from the Lead Ads tool.
jobtitle,Job Title,string,contactinformation,A contact's job title
kloutscoregeneral,Klout Score,number,socialmediainformation,"A contact's Klout score, a measure of Internet influence"
last_aircall_call_outcome,Last Aircall call outcome,enumeration,aircall,Call outcome of last Aircall call activity
last_used_aircall_phone_number,Last used Aircall phone number,string,aircall,Aircall phone number on last Aircall call activity
last_used_aircall_tags,Last used Aircall tags,string,aircall,Aircall tags on last Aircall call activity
lastmodifieddate,Last Modified Date,datetime,contactinformation,The date any property on this contact was modified
lastname,Last Name,string,contactinformation,A contact's last name
lifecyclestage,Lifecycle Stage,enumeration,contactinformation,"The qualification of contacts to sales readiness. It can be set through imports, forms, workflows, and manually on a per contact basis."
linkedinbio,LinkedIn Bio,string,socialmediainformation,A contact's LinkedIn bio
linkedinconnections,LinkedIn Connections,number,socialmediainformation,How many LinkedIn connections they have
marca_vehiculo,Marca Vehículo,string,deal_information,
marital_status,Marital Status,string,facebook_ads_properties,Contact's marital status. Required for the Facebook Ads Integration. Automatically synced from the Lead Ads tool.
message,Message,string,contact_activity,A default property to be used for any message or comments a contact may want to leave on a form.
military_status,Military status,string,facebook_ads_properties,Contact's military status. Required for the Facebook Ads Integration. Automatically synced from the Lead Ads tool.
mobilephone,Mobile Phone Number,string,contactinformation,A contact's mobile phone number
modelo_del_vehiculo,Modelo del vehículo,string,deal_information,
monto_a_donar,Monto a donar,enumeration,deal_information,Monto a donar campaña obras del espiritu santo octubre 2024.
monto_a_invertir_en_colones__,Monto a invertir en colones ¢,number,contactinformation,
monto_del_ahorro_semanal_en_colones__,Monto del ahorro semanal en colones ¢,number,contactinformation,
no__de_cedula,No. de cédula,number,contactinformation,
no_de_personas_dependientes,No de personas dependientes,number,contactinformation,
nombramiento,Nombramiento,enumeration,contactinformation,
nombre_de_quien_refiere,Nombre de quien refiere,string,contactinformation,Nombre de quien refiere a afiliarse
nombre_del_conyuge,Nombre del cónyuge,string,contactinformation,
nombre_del_referido,Nombre del referido,string,contactinformation,Nombre del referido a asociarse
nombre_y_apellidos,Nombre y apellidos,string,contactinformation,
nombre_y_apellidos__beneficiario_1_apoyo_funerario_,Nombre y apellidos (Beneficiario 1 Apoyo Funerario),string,deal_information,
nombre_y_apellidos__beneficiario_2_,Nombre y apellidos (Beneficiario 2),string,contactinformation,
nombre_y_apellidos__beneficiario_2_apoyo_funerario_,Nombre y apellidos (Beneficiario 2 Apoyo Funerario),string,contactinformation,
nombre_y_apellidos__beneficiario_3_,Nombre y apellidos (Beneficiario 3),string,contactinformation,
nombre_y_apellidos__beneficiario_3_apoyo_funerario_,Nombre y apellidos (Beneficiario 3 Apoyo Funerario),string,contactinformation,
nombre_y_apellidos__beneficiario_4_apoyo_funerario_,Nombre y apellidos (Beneficiario 4 Apoyo Funerario),string,deal_information,
nombre_y_apellidos__beneficiario_5_apoyo_funerario_,Nombre y apellidos (Beneficiario 5 Apoyo Funerario),string,contactinformation,
nombre_y_apellidos__beneficiario_6_apoyo_funerario_,Nombre y apellidos (Beneficiario 6 Apoyo Funerario),string,contactinformation,
nombre_y_apellidos__beneficiario_7_apoyo_funerario_,Nombre y apellidos (Beneficiario 7 Apoyo Funerario),string,deal_information,
nombre_y_apellidos_del_dueno_registral,Nombre y apellidos del dueño registral,string,contactinformation,
nota_de_solicitud_de_pago,Nota de solicitud de pago,string,contact_activity,
notes_last_contacted,Last Contacted,datetime,contact_activity,"The last time a call, chat conversation, LinkedIn message, postal mail, meeting, sales email, SMS, or WhatsApp message was logged for a contact. This is set automatically by HubSpot based on user actions in the contact record."
notes_last_updated,Last Activity Date,datetime,contact_activity,"The last time a call, chat conversation, LinkedIn message, postal mail, meeting, note, sales email, SMS, or WhatsApp message was logged for a contact. This is set automatically by HubSpot based on user actions in the contact record."
notes_next_activity_date,Next Activity Date,datetime,contact_activity,The date of the next upcoming activity for a contact. This is set automatically by HubSpot based on user actions in the contact record.
num_associated_deals,Number of Associated Deals,number,deal_information,Count of deals associated with this contact. Set automatically by HubSpot.
num_contacted_notes,Number of times contacted,number,contact_activity,"The number of times a call, chat conversation, LinkedIn message, postal mail, meeting, sales email, SMS, or WhatsApp message was logged for a contact record. This is set automatically by HubSpot based on user actions in the contact record."
num_conversion_events,Number of Form Submissions,number,conversioninformation,The number of forms this contact has submitted
num_notes,Number of Sales Activities,number,contact_activity,"The number of times a call, chat conversation, LinkedIn message, postal mail, meeting, note, sales email, SMS, task, or WhatsApp message was logged for a contact record. This is set automatically by HubSpot based on user actions in the contact record."
num_unique_conversion_events,Number of Unique Forms Submitted,number,conversioninformation,The number of different forms this contact has submitted
numemployees,Number of Employees,enumeration,contactinformation,The number of company employees
numero_asociado,Numero Empleado,number,contactinformation,Numero asociado
numero_de_cedula__beneficiario_1_,Numero de cédula (Beneficiario 1),string,contactinformation,
numero_de_cedula__beneficiario_2_,Numero de cédula (Beneficiario 2),string,contactinformation,
numero_de_cedula__beneficiario_3_,Numero de cédula (Beneficiario 3),string,contactinformation,
numero_de_cuenta_bancaria,Número de cuenta bancaria,number,contactinformation,
numero_de_empleado_del_referido,Número de empleado del referido,number,contactinformation,Número de empleado del referido
oficina,Oficina,string,contactinformation,
otro_monto_a_donar,Otro monto a donar,number,deal_information,"Otro monto a donar, campaña obras del espiritu santo, octubre 24"
owneremail,HubSpot Owner Email (legacy),string,sales_properties,A legacy property used to identify the email address of the owner of the contact. This property is no longer in use.
ownername,HubSpot Owner Name (legacy),string,sales_properties,A legacy property used to identify the name of the owner of the contact. This property is no longer in use.
pantallazo_deposito_sinpe_movil,Pantallazo depósito SINPE móvil,string,deal_information,
parentesco,Parentesco,string,contactinformation,
parentesco__beneficiario_1_,Parentesco (Beneficiario 2),string,contactinformation,
